Emissor,Ativo,ExpiracaoAnos,RatingOp,RatingGrupo
BRISANET SERVICOS DE TELECOMUNICACOES S.A.,BRST11,3,B4,B4
EMPRESA AMAZONENSE DE TRANSMISSAO DE ENERGIA S.A.,EATEA1,3,Baa3,Baa3
ENERGISA SA,ENGIB0,6,Baa4,Baa3
BORBOREMA TRANSMISSAO DE ENERGIA S.A.,BBRM11,20,Baa4,Baa4
CONCESSAO METROVIARIA DO RIO DE JANEIRO S/A,MTRJ19,6,B4,B4
COMPANHIA ESTADUAL DE DISTRIBUICAO DE ENERGIA ELETRICA - CEEE D,CEED21,4,Baa4,Baa4
HOLDING DO ARAGUAIA S.A.,HARG11,11,Baa4,Baa4
CTEEP - COMPANHIA DE TRANSMISSAO DE ENERGIA ELETRICA PAULISTA,TRPLB4,13,Baa3,Baa3
ENERGISA SA,ENGIB1,4,Baa4,Baa3
ECORODOVIAS CONCESSOES E SERVICOS S/A,ERDVB3,5,Baa4,Baa4
MATRINCHA TRANSMISSORA DE ENERGIA TP NORTE S/A,TPNO13,14,Baa4,Baa4
CENTRAL HIDRELETRICA PALMEIRAS DO TOCANTINS S/A,CHPT51,3,Ba4,Ba4
ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,ENMTA4,6,Baa4,Baa4
COPEL  DISTRIBUICAO S/A,CPLD29,11,Baa3,Baa3
RGE SUL DISTRIBUIDORA DE ENERGIA S/A,RIGEA3,4,Baa4,Baa4
BRK AMBIENTAL - REGIAO METROPOLITANA DE MACEIO S.A.,RMSA12,17,Ba1,Ba1
EDP TRANSMISSAO SP-MG S/A,MGSP12,14,B4,B4
FIBRASIL INFRAESTRUTURA FIBRA OTICA S.A.,FBRI13,9,B4,B4
COMPANHIA DE GAS DE SAO PAULO - COMGAS,CGASA1,9,Baa4,B4
HORIZON TRANSMISSAO ES S.A.,EDPT11,8,B4,B4
MRS LOGISTICA S/A,MRSAB1,10,B4,Baa3
ENGIE BRASIL ENERGIA SA,TBLE26,1,Baa4,Baa1
ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,ENMTB0,4,Baa4,Baa4
EMPRESA DE ENERGIA SAO MANOEL S.A.,ESAM14,8,B4,B4
MULTIPLAN EMPREENDIMENTOS IMOBILIARIOS S/A,MULPA0,3,Baa3,Baa1
CIA SANEAMENTO BASICO EST. SP - SABESP,SBSPE9,6,Baa1,Baa1
MATRINCHA TRANSMISSORA DE ENERGIA TP NORTE S/A,TPNO12,4,Baa4,Baa4
SERRA DO MEL HOLDING S.A,SDMH11,11,B4,B4
ORIZON MEIO AMBIENTE S.A.,HZTC24,6,B4,Ba1
ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,ENMTA8,4,Baa4,Baa4
CENTRAL HIDRELETRICA PALMEIRAS DO TOCANTINS S/A,CHPT61,3,Ba4,Ba4
TRANSMISSORA ALIANCA DE ENERGIA ELETRICA S/A,TAEE18,20,Baa1,Baa3
GDPAR SR PARTICIPACOES EM PROJETOS SOLARES S.A.,GDPA21,14,Ba1,Ba1
ENGIE BRASIL ENERGIA SA,EGIEA0,21,Baa4,Baa1
ECORODOVIAS CONCESSOES E SERVICOS S/A,ERDVB4,9,Baa4,Baa4
ECORODOVIAS CONCESSOES E SERVICOS S/A,ERDVA1,2,Baa4,Baa4
CEMIG DISTRIBUICAO S/A,CMGDB1,11,B4,Baa4
ORIZON MEIO AMBIENTE S.A.,HZTC14,10,Ba1,Ba1
VENTOS DE SAO TITO HOLDING S/A,VNTT11,3,B4,B4
CONCESSIONARIA ROTA DAS BANDEIRAS S/A,CBAN72,9,Baa4,Baa4
CSN MINERACAO S.A.,CMIN12,7,B4,B4
ENGIE BRASIL ENERGIA SA,EGIE39,1,Baa4,Baa1
MRS LOGISTICA S/A,MRSAA1,8,B4,Baa3
ENGIE BRASIL ENERGIA SA,EGIEB2,9,Baa1,Baa1
EREN DRACENA PARTICIPACOES S/A,EREN13,12,Baa4,Baa4
EQUATORIAL ALAGOAS DISTRIBUIDORA DE ENERGIA S.A.,CEAL21,9,Baa4,Baa4
JSL S.A,JSLGA5,3,Ba5,Ba5
CIA SANEAMENTO BASICO EST. SP - SABESP,SBSPC6,5,Baa1,Baa1
ENERGISA PARAIBA - DISTRIBUIDORA DE ENERGIA S/A,SAELA4,4,Baa4,Baa4
VLI MULTIMODAL S.A.,VLIM13,3,Baa4,Baa4
COMPANHIA RIOGRANDENSE DE SANEAMENTO - CORSAN,RSAN44,6,Ba1,Baa3
MRS LOGISTICA S/A,MRSAB2,11,B4,Baa3
PROJETO LAKE S.A,PRLK11,17,B4,B4
VENTOS DE SAO JOAO XXIII ENERGIAS RENOVAVEIS S.A.,VSJX11,17,Baa4,Baa4
CEMIG DISTRIBUICAO S/A,CMGDB0,9,Baa4,Baa4
VIA BRASIL BR 163 CONCESSIONARIA DE RODOVIAS S.A.,VBRR11,5,Ba4,Ba4
USINA SANTA ADELIA S.A.,USAS11,3,B4,B4
JSL S.A,JSMLA5,6,Ba5,Ba5
COMPANHIA RIOGRANDENSE DE SANEAMENTO - CORSAN,RSAN26,14,B4,Baa3
ARGO TRANSMISSAO DE ENERGIA S.A.,TRGO11,14,Baa4,Baa4
CENTRAL HIDRELETRICA SUCURI S.A.,CHSU11,2,Ba4,Ba4
COPEL  DISTRIBUICAO S/A,CPLD38,3,Baa3,Baa3
COMPANHIA HIDRO ELETRICA DO SAO FRANCISCO - CHESF,EXTZ11,4,B4,B4
CIA SANEAMENTO BASICO EST. SP - SABESP,SBSPB6,2,Baa1,Baa1
CENTRAL HIDRELETRICA SUCURI S.A.,CHSU21,2,Ba4,Ba4
ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,ENMTA3,2,Baa4,Baa4
CONCESSIONARIA ROTA DAS BANDEIRAS S/A,CBAN52,9,Baa4,Baa4
AES BRASIL OPERACOES S.A.,TIET39,4,Baa3,Baa4
SAO MARTINHO S/A,SMTO14,7,B4,Baa3
PORTO PRIMAVERA TRANSMISSORA DE ENERGIA S.A.,PPTE11,4,B4,B4
ENERGISA SA,ENGIC9,3,Baa4,Baa3
ENERGISA SA,ENGIA7,2,Baa4,Baa3
AES BRASIL OPERACOES S.A.,TIETA0,2,Baa4,Baa4
CONCESSIONARIA ROTA DAS BANDEIRAS S/A,CBAN32,9,Baa4,Baa4
CENTRAL HIDRELETRICA PALMEIRAS DO TOCANTINS S/A,CHPT11,2,Ba4,Ba4
TRANSMISSORA ALIANCA DE ENERGIA ELETRICA S/A,TAEEB2,4,Baa1,Baa3
JANUARIO DE NAPOLI GERACAO DE ENERGIA S/A,JANU11,18,Ba4,Ba4
BRASIL TECNOLOGIA E PARTICIPACAO S.A.,TEPA12,6,B4,B4
QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.,QUAL16,2,Ba4,Ba4
CTEEP - COMPANHIA DE TRANSMISSAO DE ENERGIA ELETRICA PAULISTA,CTEE1B,6,Baa4,Baa3
VLI MULTIMODAL S.A.,VLIM14,5,Baa4,Baa4
ELETROPAULO METROPOL. ELETR. DE S.P. S/A,ELPLA5,6,Baa1,Baa4
EQUATORIAL ENERGIA S.A.,EQTL25,3,Baa4,Baa4
COMPANHIA ENERGETICA DE PERNAMBUCO-CELPE,CEPEC2,7,Baa4,Baa4
COMPANHIA DE GAS DE MINAS GERAIS GASMIG,CGMG18,6,Baa4,B4
CENTRAL HIDRELETRICA SUCURI S.A.,CHSU61,3,Ba4,Ba4
VENTOS DE SAO TOME HOLDING S.A.,TOME12,2,B4,B4
CIA SANEAMENTO BASICO EST. SP - SABESP,SBSPF8,3,Baa1,Baa1
VENTOS DE SAO LUCIO I ENERGIAS RENOVAVEIS S.A.,VSLE11,16,Baa4,Baa4
TRANSBRASILIANA CONCESSIONARIA DE RODOVIA S.A,TBCR18,7,B4,B4
COMPANHIA ENERGETICA DO CEARA-COELCE,COCE18,7,B4,B4
TEREOS ACUCAR E ENERGIA BRASIL S.A.,TAEB15,2,,Baa4
ENGIE BRASIL ENERGIA SA,EGIE27,3,Baa4,Baa1
ENEL GREEN POWER VOLTA GRANDE S.A,EGVG21,4,Baa3,Baa3
LINHAS DE TAUBATE TRANSMISSORA DE ENERGIA S.A.,LTTE15,13,Baa4,B4
JANAUBA TRANSMISSORA DE ENERGIA ELETRICA S.A.,JTEE11,8,Baa4,Baa4
ELEKTRO REDES S.A.,EKTRC0,6,Baa3,Baa3
ENERGISA SA,ENGIA5,6,Baa3,Baa3
TRANSMISSORA ALIANCA DE ENERGIA ELETRICA S/A,TAEE26,19,Baa1,Baa3
ENGIE BRASIL ENERGIA SA,EGIE29,4,Baa4,Baa1
ENERGISA SA,ENGIB2,9,B4,Baa3
ENERGISA SA,ENGIB9,8,Baa4,Baa3
ENERGISA TRANSMISSAO DE ENERGIA S.A.,ETEN22,5,Baa4,Baa4
GBS PARTICIPACOES S.A.,GBSP11,19,Baa4,Baa4
ELETROPAULO METROPOL. ELETR. DE S.P. S/A,ELPLA7,7,Baa4,Baa4
CEMIG DISTRIBUICAO S/A,CMGD28,4,Baa4,Baa4
ENGIE BRASIL ENERGIA SA,EGIE49,4,Baa1,Baa1
CONCESSIONARIA DE RODOVIAS DO INTERIOR PAULISTA S/A,IVIAA0,13,B4,B4
ARGO V TRANSMISSAO DE ENERGIA S.A.,ODYA11,6,B4,B4
TCC - TRANSMISSORA CAMINHO DO CAFE S/A,TRCC11,3,B4,B4
CIA SANEAMENTO BASICO EST. SP - SABESP,SBSPF9,12,Baa3,Baa1
AUTOPISTA LITORAL SUL S/A.,PLSB1A,6,Baa4,Baa4
MRS LOGISTICA S/A,MRSAC1,13,Baa3,Baa3
BORRACHAS VIPAL S.A.,BVPL11,3,Baa4,Baa4
EREN DRACENA PARTICIPACOES S/A,EREN23,12,Baa4,Baa4
HIDROVIAS DO BRASIL S.A.,HBSA11,3,B4,B4
ETB - EMPRESA DE TRANSMISSAO BAIANA S.A.,ETBA12,4,Baa4,Baa3
USINA DE ENERGIA FOTOVOLTAICA DE COROMANDEL S.A.,CRMD11,12,Baa4,Baa4
USINA TERMELETRICA PAMPA SUL S.A.,UTPS22,11,Baa4,Baa4
CTEEP - COMPANHIA DE TRANSMISSAO DE ENERGIA ELETRICA PAULISTA,CTEE18,4,Baa4,Baa3
CIA SANEAMENTO BASICO EST. SP - SABESP,SBSPD4,4,B4,Baa1
CENTRAL HIDRELETRICA SUCURI S.A.,CHSU51,3,Ba4,Ba4
JALLES MACHADO S.A.,JALL14,5,B4,B4
ENERGISA SA,ENGIB8,3,Baa4,Baa3
ELETROMIDIA S.A.,ELMD15,4,Baa4,Baa4
PETRO RIO JAGUAR PETROLEO S.A.,PEJA22,9,B4,B4
VLI MULTIMODAL S.A.,VLIM15,6,Baa4,Baa4
MATA DE SANTA GENEBRA TRANSMISSAO S/A,MSGT33,17,Baa4,Baa4
CONCESSIONARIA RODOVIAS DO SUL DE MINAS SPE S.A.,RDSM12,20,Ba1,Ba1
NEOENERGIA MORRO DO CHAPEU TRANSMISSAO E ENERGIA S.A.,NMCH11,14,B4,B4
TPE  - TRANSMISSORA PARAISO DE ENERGIA S.A.,TPEN11,3,B4,B4
EDP TRANSMISSAO ALIANCA SC S.A.,EDPA11,3,B4,B4
UHE SAO SIMAO ENERGIA S/A,UHSM12,11,Baa4,Baa4
TESC - TERMINAL SANTA CATARINA S/A,CJEN13,11,Ba4,Ba4
ATLAS LUIZ CARLOS COMERCIALIZADORA DE ENERGIA S.A.,ACRC21,19,B4,B4
AES BRASIL OPERACOES S.A.,TIET19,2,Baa4,Baa4
RDVE SUBHOLDING S.A.,RDVE11,13,B4,B4
CONFLUENCIA ENERGIA S/A,CONF11,17,Baa4,Baa4
AUTOPISTA REGIS BITTENCOURT S/A,APRB28,2,Baa4,Baa4
ALIANCA GERACAO DE ENERGIA S/A,ALIG15,11,Baa4,Baa4
CELESC GERACAO S.A,CLGR13,5,B4,B4
CALDEIRAO GRANDE ENERGIAS RENOVAVEIS S/A,CLGE11,6,Baa4,Baa4
RIO PARANA ENERGIA S/A,RIPR22,6,Baa4,Baa4
XINGU RIO TRANSMISSORA DE ENERGIA S.A.,XNGU17,10,Baa1,Baa1
COMPANHIA RIOGRANDENSE DE SANEAMENTO - CORSAN,RSAN34,3,Ba1,Baa3
AUTOPISTA REGIS BITTENCOURT S/A,APRB18,6,Baa4,Baa4
COPEL  DISTRIBUICAO S/A,CPLD28,2,Baa3,Baa3
ENERGISA SA,ENGIC6,2,Baa4,Baa3
COMPANHIA ENERGETICA DE PERNAMBUCO-CELPE,CEPEC1,6,Baa4,Baa4
TRANSMISSORA ALIANCA DE ENERGIA ELETRICA S/A,TAEE17,19,Baa1,Baa3
PETRO RIO JAGUAR PETROLEO S.A.,PEJA11,7,B4,B4
CUTIA EMPREENDIMENTOS EOLICOS S.A.,CUTI11,6,B4,B4
ENGIE BRASIL ENERGIA SA,EGIE19,1,Baa4,Baa1
ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,ENMTB5,7,Baa4,Baa4
COMPANHIA DE GERACAO E TRANSMISSAO DE ENERGIA ELETRICA DO SUL DO BRASIL ELETROBRAS CGT ELETROSUL,CTGE13,4,Ba1,Baa3
ALGAR TELECOM S.A.,ALGAB1,6,Baa4,Baa4
EQUATORIAL TRANSMISSORA 3 SPE S.A,EQSP21,9,Baa3,Baa4
PARANAIBA TRANSMISSORA DE ENERGIA S.A.,PRTE12,3,B4,B4
VIAPAULISTA  S/A,VPLT12,2,Baa4,Baa4
SBF COMERCIO DE PRODUTOS ESPORTIVOS S.A.,SBFC13,2,Baa4,Ba4
ENERGISA TRANSMISSAO DE ENERGIA S.A.,ETEN21,3,Baa4,Baa4
AES CAJUINA AB1 HOLDINGS S.A.,AEAB11,19,Ba1,Ba1
COPEL GERACAO E TRANSMISSAO S.A.,CPGT18,5,Baa3,Baa3
